Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G.1,A.1,G.2,A.2,Hits,BS
Tomas Hertl,SJ,LW,48,16,20,36,-18,16,117,1,2,5,2,0,29,25
Logan Couture,SJ,C,52,16,23,39,0,18,126,3,0,9,0,2,54,45
Luke Kunin,SJ,C,63,15,16,31,-10,55,128,1,0,2,1,0,64,54
Kevin Labanc,SJ,RW,70,14,19,33,-33,38,176,3,3,6,0,0,46,24
Oskar Lindblom,SJ,LW,30,11,7,18,4,4,72,0,3,1,0,0,31,16
Andreas Johnsson,SJ,LW,43,8,13,21,0,14,78,1,4,1,0,0,43,21
Erik Karlsson,SJ,D,56,6,34,40,-15,16,120,0,1,12,1,0,26,74
Marc-Edouard Vlasic,SJ,D,70,5,10,15,-10,10,74,1,0,0,1,0,37,97
Noah Gregor,SJ,C,28,3,2,5,-5,8,33,0,1,1,0,0,50,6
Mario Ferraro,SJ,D,61,2,9,11,-15,30,63,0,0,0,0,1,120,58
Martin Kaut,SJ,RW,9,2,1,3,-1,2,13,0,1,0,0,0,9,0
Radim Simek,SJ,D,48,2,7,9,-13,14,40,0,0,0,0,0,91,60
Andrew Agozzino,SJ,LW,22,1,2,3,3,4,10,0,0,0,0,0,25,7
Matt Benning,SJ,D,43,1,7,8,8,15,38,0,0,0,0,0,78,34
Derrick Pouliot,SJ,D,2,0,0,0,-1,2,1,0,0,0,0,0,2,1
C.J. Suess,SJ,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Evgeny Svechnikov,SJ,LW,4,0,0,0,-1,2,7,0,0,0,0,0,5,1
Nico Sturm,SJ,C,6,0,2,2,2,0,2,0,0,0,0,0,6,5
Nikolai Knyzhov,SJ,D,3,0,0,0,-1,2,0,0,0,0,0,0,4,4
