Player Name,POS,STATUS,ACQUIRED,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28
Adam Raska,"LW, RW",Minor,Draft,"848,333.00",RFA,,,,
Alexander Barabanov,"RW, LW",NHL,Trade,"2,500,000.00","2,500,000.00",UFA,,,
Andreas Johnsson,"LW, RW",NHL,Trade,"3,400,000.00",UFA,,,,
Erik Karlsson,RD,NHL,Trade,"11,500,000.00","11,500,000.00","11,500,000.00","11,500,000.00","11,500,000.00",UFA
Evgeny Svechnikov,"LW, RW",NHL,Signed,"750,000.00",RFA,,,,
Fabian Zetterlund,RW,NHL,Trade,"750,000.00",RFA,,,,
Henry Thrun,LD,NHL,Trade,"912,500.00","912,500.00",RFA,,,
Jacob MacDonald,LD/RD,NHL,Trade,"762,500.00","762,500.00",UFA,,,
Jacob Peterson,"LW, C",Emerg. Loan,Trade,"842,500.00",RFA,,,,
Jeffrey Viel,LW,Emerg. Loan,Signed,"750,000.00",UFA,,,,
Jonah Gadjovich,"LW, RW",IR,Waivers,"750,000.00",RFA,,,,
Kevin Labanc,"RW, LW",NHL,Draft,"4,725,000.00","4,725,000.00",UFA,,,
Logan Couture,C,NHL,Draft,"8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00","8,000,000.00",UFA
Luke Kunin,"RW, C",LTIR,Trade,"2,750,000.00","2,750,000.00",RFA,,,
Marc-Edouard Vlasic,LD/RD,NHL,Draft,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",UFA,
Mario Ferraro,LD,NHL,Draft,"3,250,000.00","3,250,000.00","3,250,000.00","3,250,000.00",UFA,
Markus Nutivaara,LD/RD,LTIR,Signed,"1,500,000.00",UFA,,,,
Matthew Benning,RD,NHL,Signed,"1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00",UFA,
Nico Sturm,C,NHL,Signed,"2,000,000.00","2,000,000.00","2,000,000.00",UFA,,
Nikolai Knyzhov,LD/RD,NHL,Signed,"850,000.00","1,250,000.00","1,250,000.00",UFA,,
Noah Gregor,"LW, RW",NHL,Draft,"950,000.00",RFA,,,,
Oskar Lindblom,LW,NHL,Signed,"2,500,000.00","2,500,000.00",UFA,,,
Radim Simek,LD/RD,NHL,Signed,"2,250,000.00","2,250,000.00",UFA,,,
Steven Lorentz,"C, LW, RW",NHL,Trade,"1,050,000.00","1,050,000.00",UFA,,,
Tomas Hertl,C,NHL,Draft,"8,137,500.00","8,137,500.00","8,137,500.00","8,137,500.00","8,137,500.00","8,137,500.00"
Andrew Agozzino,"C, LW",Minor,Signed,"775,000.00","775,000.00",UFA,,,
C.J. Suess,LW,Minor,Signed,"775,000.00",UFA,,,,
Danil Gushchin,RW,Minor,Draft,"828,333.00","828,333.00",828333,RFA,,
Derrick Pouliot,D,Minor,Signed,"750,000.00",UFA,,,,
Martin Kaut,RW,Minor,Trade,"863,333.00",RFA,,,,
Nick Cicek,D,Minor,Signed,"835,000.00",835000,RFA,,,
Nikita Okhotyuk,D,Minor,Trade,"789,167.00",789167,RFA,,,
Thomas Bordeleau,LW,Minor,Draft,"916,667.00",916667,RFA,,,
Tristen Robins,C,Minor,Draft,"797,500.00",797500,797500,RFA,,
William Eklund,LW,Minor,Draft,"894,167.00",894167,894167,RFA,,
