Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,Hits,BS
Adam Raska,SJ,LW,3,0,0,0,0,0,1,0,13,2
Alexander Barabanov,SJ,RW,68,15,32,47,-30,20,120,2,40,37
Andreas Johnsson,SJ,LW,13,0,3,3,-6,6,18,0,7,5
Andrew Agozzino,SJ,LW,4,1,2,3,-1,0,9,0,12,4
C.J. Suess,SJ,LW,1,0,0,0,-1,2,0,0,1,0
Danil Gushchin,SJ,RW,2,1,1,2,-1,0,8,0,0,5
Derrick Pouliot,SJ,D,8,0,2,2,-1,6,4,0,10,9
Erik Karlsson,SJ,D,82,25,76,101,-26,36,209,4,33,90
Evgeny Svechnikov,SJ,LW,59,8,6,14,-6,26,64,0,100,21
Fabian Zetterlund,SJ,LW,67,6,17,23,-6,14,118,1,53,20
Henry Thrun,SJ,D,8,0,2,2,-3,0,7,0,4,9
Jacob MacDonald,SJ,D,58,1,7,8,-14,23,75,0,69,43
Jacob Peterson,SJ,LW,12,2,6,8,-12,4,21,0,12,5
Jeffrey Viel,SJ,LW,4,0,0,0,0,2,4,0,6,2
Jonah Gadjovich,SJ,LW,35,3,4,7,-3,57,32,0,92,5
Kevin Labanc,SJ,RW,72,15,18,33,-17,36,129,0,70,28
Kyle Criscuolo,SJ,C,1,1,0,1,0,0,2,1,2,1
Logan Couture,SJ,C,82,27,40,67,-30,19,198,4,128,70
Luke Kunin,SJ,C,31,5,8,13,-9,32,58,0,63,27
Marc-Edouard Vlasic,SJ,D,78,1,17,18,-14,16,67,0,45,116
Mario Ferraro,SJ,D,72,4,7,11,-31,24,66,0,129,145
Martin Kaut,SJ,RW,36,4,4,8,-4,4,44,1,23,5
Matt Benning,SJ,D,77,1,23,24,-18,26,58,0,102,125
Nick Cicek,SJ,D,16,0,4,4,-7,15,3,0,28,21
Nico Sturm,SJ,C,74,14,12,26,-13,23,119,1,100,45
Nikita Okhotyuk,SJ,D,10,1,0,1,1,2,6,1,31,9
Nikolai Knyzhov,SJ,D,12,1,0,1,-13,8,10,0,11,16
Noah Gregor,SJ,C,57,10,7,17,-9,32,119,1,97,34
Oskar Lindblom,SJ,LW,73,6,9,15,-16,18,75,0,64,24
Radim Simek,SJ,D,44,1,2,3,-13,29,39,0,89,74
Steven Lorentz,SJ,C,80,10,9,19,-18,16,111,0,133,46
Thomas Bordeleau,SJ,LW,8,0,2,2,-3,0,9,0,4,3
Tomas Hertl,SJ,LW,79,22,41,63,-36,42,183,1,91,57
Tristen Robins,SJ,C,3,0,0,0,-1,0,2,0,2,3
William Eklund,SJ,LW,8,2,1,3,-5,6,18,0,7,6
